emoji,count
🤙🏾,1
🙅🏼‍♂️,1
🏋️‍♂️,1
🤷🏾‍♀️,1
⭕,1
🏚️,1
🤷🏻‍♀,1
📱,1
⬇,1
🏽,1
🚲,1
♌,1
🦀,1
🧉,1
💆‍♀️,1
🤲🏾,1
🎥,1
™️,1
👂🏽,1
🤜🏿,1
🇸🇦,1
🪑,1
🤶,1
🧚🏼‍♀️,1
🇪🇬,1
🏏,1
🛠,1
✋🏿,1
🧜‍♂️,1
👇🏽,1
🍲,1
🍱,1
🍛,1
🫷🏻,1
🧔🏽‍♂️,1
🫸🏾,1
4⃣,1
💆🏽‍♂️,1
👭,1
🔼,1
👨🏻‍💻,1
🖖🏼,1
🌘,1
♓,1
🎒,1
🇲🇱,1
🇭🇳,1
⏪,1
🖌️,1
🫲,1
🫱,1
👼🏻,1
🍍,1
📃,1
👨‍🚀,1
👩🏻‍🦯‍➡️,1
👩‍🚀,1
👉🏽,1
🧛‍♂️,1
⛳,1
🛡️,1
🫴🏻,1
🏗️,1
🙇🏽‍♂️,1
🪇,1
🧘‍♂️,1
🏊🏽‍♀️,1
🤹🏼‍♀️,1
🅿️,1
🧑‍🦳,1
🐹,1
🧘,1
🔎,1
🧚🏾‍♀️,1
🏒,1
⛺,1
🤦‍♂,1
⚒,1
✍🏻,1
🚉,1
👂🏼,1
🧦,1
🌶,1
🤳🏼,1
🎲,1
💱,1
🧒,1
❔,1
🎡,1
🤹‍♀️,1
🤷‍♂,1
♟️,1
🎰,1
🚣‍♀️,1
🚚,1
🧯,1
🥅,1
ℹ️,1
🙆🏽‍♂️,1
🦟,1
🙍‍♀️,1
🧑‍⚕️,1
🇵🇼,1
🛻,1
🗞,1
🔒,1
☣,1
👂🏿,1
🪔,1
🖋,1
💏🏿,1
🧏🏿‍♂️,1
🇺🇳,1
🧓🏻,1
👵🏻,1
🍨,1
🧑🏻‍🔬,1
👰‍♀️,1
🧏‍♀️,1
🤵🏽‍♂️,1
🙇‍♀️,1
🏴󠁧󠁢󠁷󠁬󠁳󠁿,1
🥠,1
🥮,1
🍝,1
🫒,1
🪿,1
🩱,1
🇦🇲,1
🚻,1
