emoji,count
🫐,9
☕,9
👤,8
🤖,8
❣,8
😮,8
🍓,8
👊🏼,8
🇧🇦,8
✊🏽,8
🤝🏼,8
👃,8
☝🏽,8
🫲🏻,8
🫱🏼,8
🥁,8
💊,8
⚔️,8
🤷🏻‍♀️,8
🥂,8
⬆️,7
🕯,7
🫶🏾,7
👏🏿,7
🟣,7
🌐,7
😦,7
💌,7
🏴‍☠️,7
🙋‍♀️,7
🟡,7
🇲🇰,7
🤚,7
🤞,7
🚽,7
🧣,7
🇬🇧,7
⛽,7
♠️,7
🙀,7
🫤,7
1️⃣,7
⚡,7
🍎,7
🫧,6
🏗,6
🐳,6
👆🏻,6
☁️,6
🕳️,6
👇🏼,6
🍞,6
✊🏾,6
👌🏿,6
🪦,6
💪🏾,6
📍,6
🦇,6
🧑‍🦲,6
🚮,6
🤴,6
🪴,6
✊🏿,6
🇹🇯,6
🌞,6
😰,6
😷,6
🎻,6
🖖,6
🇺🇲,6
🇭🇷,6
☁,5
🧨,5
🫵🏽,5
🌼,5
🅱️,5
🅰️,5
⚓,5
👽,5
👌🏽,5
🎆,5
🔜,5
🚘,5
🔨,5
👊🏾,5
🔊,5
🎊,5
🇰🇿,5
🇳🇱,5
🏠,5
💁‍♂️,5
🎈,5
🥷,5
🎭,5
👌🏾,5
📢,5
🤷🏼,5
🍻,5
♾️,5
®,5
🥦,5
👨🏻‍🤝‍👨🏼,5
⚪,5
🗡,5
🥋,5
🚣,5
🚗,5
🌳,5
🫰🏻,5
🧌,5
🍁,5
🥚,5
🐨,5
🪐,4
💧,4
❕,4
🍺,4
👨‍🦲,4
🧃,4
🇻🇳,4
💣,4
🪵,4
🤌🏼,4
🇲🇦,4
🖐,4
🤙🏽,4
👆🏽,4
🌱,4
🏳️‍⚧️,4
🪷,4
🚶‍♂️,4
🧚‍♀️,4
🙌🏾,4
➡️,4
🙋🏻‍♀️,4
🅰,4
🐛,4
🙆‍♂️,4
👩🏻‍🤝‍👩🏼,4
🐅,4
🗝️,4
📺,4
🐕,4
🍐,4
☢️,4
🦩,4
🥨,4
🍇,4
🦊,4
🤙🏻,4
🐰,4
🐐,4
🌬️,4
🔞,4
🦆,4
🚶‍♀️,4
🐶,4
🇱🇧,4
🧑🏻‍🤝‍🧑🏻,4
🎵,4
🎼,4
🇩🇰,4
🇸🇴,4
💭,4
🏃,4
🪨,4
🙅‍♂️,4
🫥,4
🪪,3
🫵🏿,3
🇱🇰,3
🧘🏾‍♂️,3
👊🏻,3
🥔,3
🗑️,3
🥜,3
🇮🇲,3
🐵,3
🐍,3
👎🏽,3
🇭🇺,3
🐷,3
🗳,3
🇮🇷,3
🇨🇳,3
🟫,3
🫨,3
😶‍🌫️,3
🙆,3
🍌,3
😼,3
🧑🏻‍🤝‍🧑🏼,3
☦,3
👈🏽,3
🍃,3
⚰️,3
💵,3
🐒,3
🇧🇷,3
👔,3
📝,3
🫸🏼,3
😿,3
🫱🏻‍🫲🏾,3
🤷🏾‍♂️,3
🪢,3
🙅🏼,3
☘,3
🥝,3
🌮,3
🦧,3
🏔,3
🚔,3
🌝,3
🎂,3
🌚,3
🤷🏽‍♀️,3
😙,3
☃️,3
🙇,3
🧟‍♀️,3
☑️,3
🏋️‍♀️,3
♀️,3
🇪🇸,3
🤙🏼,3
🖐️,3
🏦,3
🪽,3
🐈‍⬛,3
🧍‍♂️,3
💅🏻,3
🫱🏻‍🫲🏼,3
😵,3
✋,3
👼,3
🔔,3
🇧🇬,3
🦍,3
🇵🇪,3
🇵🇹,3
🎪,3
🇨🇦,3
🤟🏼,3
🤳,3
💁🏼‍♂️,3
👨,3
✏️,3
😺,3
🇦🇷,3
🙅🏻‍♀️,3
📥,3
🦄,3
🐄,3
👮,3
📕,3
🌴,3
🐊,3
🖐🏼,3
🙆🏻‍♀️,2
🗑,2
🍧,2
🛠️,2
🏢,2
🏡,2
♻️,2
🚶🏾,2
🎸,2
🫵🏾,2
🌧,2
🤦🏾,2
⏰,2
🌪️,2
👉🏻,2
📩,2
⚒️,2
🥒,2
🍪,2
🚖,2
🔱,2
🥕,2
😧,2
✍🏾,2
🇱🇹,2
🛑,2
🥩,2
🗓,2
📻,2
🧚🏽‍♀️,2
🦷,2
Ⓜ️,2
🔙,2
🙆🏾‍♀️,2
🕸️,2
🙎,2
🇨🇺,2
😸,2
☝🏿,2
👩‍⚖️,2
🦉,2
🤞🏽,2
📣,2
🪻,2
🏳,2
🏅,2
🧚‍♂️,2
😯,2
🇧🇾,2
✉️,2
🇬🇷,2
💅🏼,2
🍚,2
👬,2
🇵🇰,2
🧬,2
🇰🇬,2
🌋,2
🥈,2
🤌🏻,2
🫁,2
🤝🏾,2
🤞🏾,2
🏊🏽‍♂️,2
🫱🏻‍🫲🏽,2
⤴️,2
👩‍👩‍👧‍👧,2
⛈,2
🏫,2
🇻🇦,2
🌶️,2
🇺🇬,2
🐖,2
🫱🏼‍🫲🏽,2
↘️,2
🐾,2
🪓,2
👂,2
👸🏼,2
🫱🏽‍🫲🏻,2
🦈,2
🚾,2
📚,2
2️⃣,2
👨‍🍳,2
🇺🇿,2
🇪🇷,2
💹,2
🚭,2
🍏,2
👄,2
🇰🇵,2
✋🏽,2
🛸,2
🤦🏽,2
👯‍♂️,2
🍰,2
💆‍♂️,2
🐉,2
🎮,2
🛫,2
🤞🏻,2
🕷️,2
🌭,2
💁‍♀️,2
🇷🇸,2
🫳🏽,2
🤒,2
⛰,2
🚹,2
🌯,2
😶,2
⬅️,2
🚌,2
👅,2
🅾,2
🇹🇳,2
↗️,2
🛒,2
🏥,2
👋🏿,2
🏃‍♂️,2
💍,2
♂️,2
🌓,2
🤟🏻,2
🍸,2
🦦,2
☹,2
📀,2
🟦,2
🌙,2
👪,2
🧙‍♂️,1
🏂,1
🦭,1
↪,1
↩,1
🤦🏾‍♀️,1
🤺,1
🏇,1
🐭,1
🙅🏼‍♀️,1
🇨🇮,1
😽,1
🤚🏻,1
🦸‍♀️,1
🥄,1
🫴🏾,1
🫘,1
🖼️,1
🦯,1
👇🏾,1
🇩🇿,1
🇬🇭,1
🇹🇬,1
🌡️,1
🚂,1
🧳,1
🫰🏽,1
🗻,1
🦞,1
🏝️,1
🎙,1
🍂,1
🐝,1
💷,1
☝,1
👨‍💻,1
🆔,1
♊,1
🏹,1
💺,1
🚏,1
🤛🏻,1
🃏,1
👕,1
🐁,1
🍔,1
🏵,1
👩‍🦲,1
🌵,1
🏳️,1
🦜,1
🙋🏼‍♂️,1
🇰🇪,1
🇱🇾,1
🧑🏻‍💻,1
🙅🏽‍♀️,1
📧,1
🆎,1
🤹‍♂️,1
💒,1
🛢️,1
👐🏿,1
☣️,1
🙌🏽,1
🆓,1
™,1
🧑‍🌾,1
9️⃣,1
🌅,1
🧑🏻‍🤝‍🧑🏽,1
💁🏼‍♀️,1
✂️,1
🏄‍♂️,1
🏄‍♀️,1
🏝,1
🇸🇩,1
✝,1
🦢,1
🇨🇿,1
🪱,1
🎱,1
🧅,1
🫑,1
🥖,1
🦸‍♂️,1
🙅🏻,1
👨‍🍼,1
🍑,1
3️⃣,1
🕰️,1
4️⃣,1
👨🏻‍🦲,1
🇳🇬,1
💦,1
🥷🏻,1
🙋🏽,1
🕸,1
🤹,1
🦛,1
👮‍♂️,1
🐪,1
❎,1
👴,1
🫳,1
🫰🏼,1
🐗,1
🇨🇩,1
🤤,1
🧏‍♂️,1
🤞🏼,1
🧗🏽‍♂️,1
🇲🇩,1
🗡️,1
➰,1
🇹🇭,1
🇰🇷,1
🥷🏽,1
🙇‍♂️,1
🍯,1
📊,1
🇵🇦,1
🪆,1
🏬,1
🐋,1
🧑🏻‍🦲,1
🍅,1
🪫,1
🇸🇳,1
📞,1
💁,1
🤹‍♀️,1
🏨,1
🏴󠁧󠁢󠁥󠁮󠁧󠁿,1
🏊🏽‍♀️,1
🍹,1
🥤,1
🧉,1
🪳,1
👖,1
🐸,1
💬,1
🔗,1
🍍,1
👨🏻‍💻,1
👼🏻,1
🅾️,1
🧟‍♂️,1
🏋️‍♂️,1
🦀,1
🪣,1
🤲🏾,1
🤦‍♂,1
🧼,1
🦻,1
🀄,1
📇,1
🕒,1
🙆‍♀️,1
👲,1
🔷,1
💁🏻‍♂️,1
🇪🇦,1
🫸🏽,1
📖,1
™️,1
🎥,1
🍳,1
🦓,1
🥃,1
🧑🏻‍🤝‍🧑🏾,1
🛰,1
☝🏾,1
🏀,1
💲,1
🙅🏻‍♂️,1
🦂,1
🤷🏽,1
🧱,1
🐎,1
🧯,1
🙋🏼‍♀️,1
🧟,1
☀,1
🇮🇳,1
🙅‍♀️,1
♟️,1
🤷‍♂,1
👸,1
✔,1
☄,1
🙅🏽‍♂️,1
🗞,1
🦕,1
♌,1
🎰,1
🌶,1
🐞,1
🤳🏼,1
🐢,1
🥥,1
👓,1
🆙,1
🏷,1
🔍,1
🙏🏿,1
🎲,1
👡,1
👂🏽,1
🍄‍🟫,1
🎛,1
🥞,1
🤜🏻,1
🫳🏼,1
✌🏿,1
⛏️,1
🚆,1
👨🏼‍🦲,1
🏛,1
🤜🏿,1
💽,1
♣️,1
🍜,1
🎇,1
👞,1
🦌,1
🤙🏾,1
🍟,1
🐴,1
🍿,1
🎡,1
🪂,1
💁🏻‍♀️,1
🤦🏿‍♀️,1
🔶,1
🤴🏻,1
🏋🏻‍♀️,1
🤷🏿‍♂️,1
💆,1
🐇,1
🫷🏼,1
🤷🏻‍♂,1
🎬,1
🧑‍⚖️,1
🌠,1
🐻,1
☪,1
💆‍♀️,1
👣,1
🏤,1
🏋🏻,1
🙇🏻‍♂️,1
🏃‍♀️,1
😾,1
🤶,1
🪑,1
👨‍🦱,1
👩‍🦱,1
🪖,1
⚜️,1
☎️,1
🎴,1
🇾🇪,1
🇸🇦,1
🕋,1
🐥,1
👱,1
🌌,1
📸,1
🤌🏽,1
♏,1
🇪🇬,1
💻,1
🔐,1
🪜,1
⚖️,1
🧊,1
🍄,1
🍥,1
🧑‍🍳,1
🍽,1
🍴,1
🧚🏼‍♀️,1
👨‍🎓,1
🅱,1
