emoji,count
🍂,1
🗨,1
🐵,1
🌸,1
🙊,1
🖐,1
🦾,1
🧻,1
🥊,1
🟤,1
💢,1
⛔,1
☺,1
🧱,1
😶,1
💪🏽,1
🪖,1
🫶🏿,1
☢️,1
👍🏿,1
🇮🇱,1
➡️,1
⬅️,1
👉🏻,1
🪰,1
👼,1
‼,1
🍔,1
🐄,1
🫠,1
👸🏼,1
🚪,1
🤷🏻‍♀,1
🏴,1
☝🏽,1
🙆‍♀️,1
👃,1
🍆,1
